id	nev	kezdeseve	vegzeseve
2409	Mészáros András	2001	2005
2410	Farkas Kitti	2012	2016
2411	Elek Barbara	2018	2022
2412	Szabó András	2004	2008
2413	Somos Bálint	2015	2019
2414	Juhász Ádám	2008	2012
2415	Rácz Henrietta	2015	2019
2416	Bencsik Lilla	2019	2023
2417	Mészáros István	2020	NULL
2418	Somos Lajos	2004	2008
2419	Pataki Henrietta	2013	2017
2420	Kocsis Alexandra	2021	NULL
2421	Molnár Helga	2007	2011
2422	Torma Patrik	2003	2007
2423	Varga Tamás	2008	2012
2424	Gál Katalin	2000	2004
2425	Halász Ferenc	2019	2023
2426	Kovács Tamás	2018	2022
2427	Takács Ilonka	2011	2015
2428	Somos Zsófia	2019	2023
2429	Balogh Dóra	2002	2006
2430	Szabó Noémi	2020	NULL
2431	Fekete Margit	2003	2007
2432	Elek Klaudia	2019	2023
2433	Tóth András	2015	2019
2434	Rácz Anna	2010	2014
2435	Magyar Jenő	2003	2007
2436	Németh Zsuzsanna	2014	2018
2437	Galambos István	2008	2012
2438	Kiss György	2006	2010
2439	Molnár Viktória	2013	2017
2440	Fekete Jenő	2002	2006
2441	Kiss Barbara	2009	2013
2442	Farkas Krisztina	2003	2007
2443	Kiss Martin	2022	NULL
2444	Kis Eszter	2012	2016
2445	Szekeres Dóra	2017	2021
2446	Győri Dóri	2006	2010
2447	Nagy Zsófia	2004	2008
2448	Sípos Noémi	2014	2018
2449	Szekeres Zsolt	2014	2018
2450	Gál Nikolett	2000	2004
2451	Pécsi Balázs	2011	2015
2452	Magyar József	2009	2013
2453	Galambos Patrik	2008	2012
2454	Sípos Dániel	2009	2013
2455	Kovács Lilla	2002	2006
2456	Mészáros Nándor	2004	2008
2457	Töreki Noémi	2016	2020
2458	Kiss László	2019	2023
2459	Kis Ilonka	2004	2008
2460	Gál Dániel	2010	2014
2461	Szakács Gabriella	2020	NULL
2462	Takács Attila	2021	NULL
2463	Töreki Béla	2013	2017
2464	Farkas Nándor	2019	2023
2465	Győri Alexandra	2010	2014
2466	Torma Lilla	2012	2016
2467	Juhász Katalin	2011	2015
2468	Töreki Attila	2013	2017
2469	Takács Martin	2011	2015
2470	Vámos István	2003	2007
2471	Szakács Jenő	2012	2016
2472	Farkas Béla	2010	2014
2473	Elek Viktória	2021	NULL
2474	Nagy Kitti	2013	2017
2475	Takács Rozi	2002	2006
2476	Németh Gábor	2002	2006
2477	Fehér Béla	2009	2013
2478	Fekete Fanni	2008	2012
2479	Fekete Bence	2001	2005
2480	Galambos Bálint	2022	NULL
2481	Hujber Zsófia	2019	2023
2482	Tóth Katalin	2019	2023
2483	Farkas Antal	2016	2020
2484	Galambos Klaudia	2018	2022
2485	Fekete Rebeka	2014	2018
2486	Torma Tamás	2019	2023
2487	Magyar Alexandra	2004	2008
2488	Szakács Petra	2020	NULL
2489	Juhász József	2016	2020
2490	Somos Tamás	2013	2017
2491	Szabó Gabriella	2000	2004
2492	Galambos Kálmán	2020	NULL
2493	Varga Petra	2020	NULL
2494	Sípos Gyula	2003	2007
2495	Győri Zsuzsanna	2007	2011
2496	Gál Martin	2008	2012
2497	Szabó Zsófia	2005	2009
2498	Halász András	2004	2008
2499	Kiss Gábor	2021	NULL
2500	Kovács Luca	2010	2014
2501	Fekete Kálmán	2008	2012
2502	Szilágyi Helga	2006	2010
2503	Pataki Alajos	2008	2012
2504	Mészáros Béla	2021	NULL
2505	Kocsis Viktória	2020	NULL
2506	Tóth Nikolett	2015	2019
2507	Pataki Dóra	2014	2018
2508	Juhász Lilla	2015	2019
2509	Kovács Rozi	2018	2022
2510	Mészáros Alajos	2020	NULL
2511	Gál Viktória	2019	2023
2512	Halász Zsófia	2016	2020
2513	Farkas Luca	2008	2012
2514	Torma Margit	2021	NULL
2515	Gál Gyula	2002	2006
2516	Győri Dóra	2002	2006
2517	Varga Rudolf	2003	2007
2518	Szilágyi Bálint	2000	2004
2519	Kis Dániel	2012	2016
2520	Hujber Lajos	2010	2014
2521	Rácz Gabriella	2018	2022
2522	Szabó Gyula	2012	2016
2523	Szilágyi Noémi	2013	2017
2524	Ötvös Ádám	2000	2004
2525	Szekeres Anna	2011	2015
2526	Kis György	2017	2021
2527	Szabó Bence	2013	2017
2528	Nagy György	2012	2016
2529	Gál András	2020	NULL
2530	Vámos László	2009	2013
2531	Molnár Katalin	2015	2019
2532	Kiss Antal	2009	2013
2533	Ötvös Antal	2021	NULL
2534	Pécsi Balázs	2014	2018
2535	Kis Dániel	2002	2006
2536	Kis Balázs	2013	2017
2537	Takács Aladár	2000	2004
2538	Németh Krisztina	2009	2013
2539	Szabó Petra	2003	2007
2540	Bencsik Gyula	2009	2013
2541	Szabó Dóri	2017	2021
2542	Juhász Luca	2016	2020
2543	Töreki Dóra	2000	2004
2544	Szekeres Zsuzsanna	2021	NULL
2545	Hujber Helga	2009	2013
2546	Tóth Adrienn	2011	2015
2547	Galambos Zoltán	2021	NULL
2548	Pataki Antal	2020	NULL
2549	Juhász Anna	2015	2019
2550	Sípos Tímea	2012	2016
2551	Fekete Noémi	2021	NULL
2552	Győri Viktória	2008	2012
2553	Juhász Dóri	2020	NULL
2554	Pataki Nóra	2007	2011
2555	Juhász András	2022	NULL
2556	Pataki Alajos	2017	2021
2557	Juhász Zsófia	2017	2021
2558	Nagy Mariann	2016	2020
2559	Somos Rudolf	2008	2012
2560	Galambos Noémi	2017	2021
2561	Farkas Dóri	2002	2006
2562	Szekeres Lili	2014	2018
2563	Töreki Aladár	2016	2020
2564	Farkas Barbara	2008	2012
2565	Kis Zsófia	2001	2005
2566	Szakács Adrienn	2000	2004
2567	Kis Henrietta	2012	2016
2568	Hujber Alajos	2004	2008
2569	Szilágyi Antal	2021	NULL
2570	Nagy Aladár	2014	2018
2571	Vámos Dániel	2021	NULL
2572	Ötvös Katalin	2001	2005
2573	Somos János	2015	2019
2574	Takács Ferenc	2004	2008
2575	Tóth János	2014	2018
2576	Magyar Klaudia	2003	2007
2577	Galambos Zsolt	2013	2017
2578	Galambos Klaudia	2016	2020
2579	Varga Nóra	2021	NULL
2580	Varga Jenő	2003	2007
2581	Szakács Helga	2020	NULL
2582	Takács József	2013	2017
2583	Ötvös Zsuzsanna	2017	2021
2584	Farkas Ferenc	2008	2012
2585	Szabó Béla	2010	2014
2586	Farkas Gyula	2000	2004
2587	Kis Zoltán	2012	2016
2588	Németh Gergely	2011	2015
2589	Magyar Mariann	2012	2016
2590	Szilágyi István	2006	2010
2591	Gál Noémi	2011	2015
2592	Szakács Gábor	2016	2020
2593	Magyar Patrik	2014	2018
2594	Mészáros Balázs	2010	2014
2595	Vámos Margit	2013	2017
2596	Sípos Henrietta	2006	2010
2597	Szabó Gyula	2007	2011
2598	Halász Albert	2008	2012
2599	Elek Antal	2019	2023
2600	Pataki Krisztina	2019	2023
2601	Kiss Krisztina	2009	2013
2602	Hujber Luca	2022	NULL
2603	Szabó Noémi	2012	2016
2604	Farkas Dóra	2009	2013
2605	Torma Anna	2007	2011
2606	Somos Lili	2022	NULL
2607	Pécsi Rebeka	2008	2012
2608	Szilágyi Antal	2013	2017
2609	Szakács Eszter	2004	2008
2610	Szilágyi Lilla	2005	2009
2611	Nagy Krisztina	2019	2023
2612	Győri Tímea	2004	2008
2613	Pataki Gergely	2011	2015
2614	Kiss Zsuzsanna	2002	2006
2615	Gál Ferenc	2003	2007
2616	Kis János	2012	2016
2617	Fekete Tímea	2003	2007
2618	Németh Zsolt	2012	2016
2619	Balogh Zsolt	2013	2017
2620	Varga Antal	2011	2015
2621	Szabó Jenő	2022	NULL
2622	Kiss Gábor	2002	2006
2623	Szilágyi István	2011	2015
2624	Tóth András	2003	2007
2625	Szilágyi Nikolett	2021	NULL
2626	Szilágyi Jenő	2014	2018
2627	Fekete Gábor	2007	2011
2628	Gál Tamás	2001	2005
2629	Balogh Krisztina	2021	NULL
2630	Fehér Helga	2010	2014
2631	Szabó Antal	2005	2009
2632	Varga Lilla	2010	2014
2633	Fekete Balázs	2001	2005
2634	Pataki Barbara	2000	2004
2635	Kis Antal	2000	2004
2636	Szakács Katalin	2007	2011
2637	Pataki Ferenc	2007	2011
2638	Kiss Nóra	2017	2021
2639	Győri Lilla	2012	2016
2640	Galambos Ilonka	2006	2010
2641	Pécsi Patrik	2011	2015
2642	Kiss Martin	2016	2020
2643	Kocsis Rozi	2009	2013
2644	Töreki Nándor	2014	2018
2645	Szakács Noémi	2020	NULL
2646	Szekeres Antal	2010	2014
2647	Gál Kálmán	2000	2004
2648	Győri Máté	2004	2008
2649	Ötvös Balázs	2003	2007
2650	Tóth Gábor	2000	2004
2651	Varga Bence	2022	NULL
2652	Kocsis Zoltán	2011	2015
2653	Juhász Rozi	2022	NULL
2654	Halász Máté	2003	2007
2655	Vámos Kitti	2020	NULL
2656	Gál Alexandra	2015	2019
2657	Töreki Zsuzsanna	2020	NULL
2658	Farkas Henrietta	2022	NULL
2659	Németh Balázs	2005	2009
2660	Ötvös Noémi	2020	NULL
2661	Szekeres György	2008	2012
2662	Vámos Nándor	2006	2010
2663	Mészáros Alajos	2012	2016
2664	Magyar Luca	2007	2011
2665	Rácz Dóri	2020	NULL
2666	Rácz Nóra	2014	2018
2667	Szakács Mariann	2012	2016
2668	Varga Noémi	2002	2006
2669	Hujber Petra	2006	2010
2670	Töreki Margit	2008	2012
2671	Takács Réka	2018	2022
2672	Hujber Petra	2000	2004
2673	Rácz Zsolt	2010	2014
2674	Szekeres Albert	2002	2006
2675	Fekete Anna	2002	2006
2676	Nagy Lajos	2022	NULL
2677	Töreki Réka	2002	2006
2678	Bencsik Jenő	2012	2016
2679	Torma Bence	2006	2010
2680	Kocsis Réka	2013	2017
2681	Töreki Adrienn	2018	2022
2682	Szakács István	2015	2019
2683	Halász Fanni	2021	NULL
2684	Sípos Bálint	2000	2004
2685	Töreki Margit	2010	2014
2686	Balogh Helga	2012	2016
2687	Töreki Dániel	2022	NULL
2688	Molnár Kitti	2004	2008
2689	Halász Balázs	2011	2015
2690	Juhász Alexandra	2012	2016
2691	Elek Petra	2019	2023
2692	Pécsi Alajos	2011	2015
2693	Vámos Albert	2002	2006
2694	Somos József	2008	2012
2695	Sípos Kitti	2006	2010
2696	Győri András	2022	NULL
2697	Somos Alajos	2003	2007
2698	Tóth Katalin	2008	2012
2699	Torma Anna	2010	2014
2700	Győri Henrietta	2001	2005
2701	Szekeres Eszter	2008	2012
2702	Vámos Viktória	2011	2015
2703	Nagy Adrienn	2003	2007
2704	Kiss Helga	2000	2004
2705	Fehér Máté	2007	2011
2706	Galambos Kálmán	2015	2019
2707	Torma János	2012	2016
2708	Pataki Aladár	2015	2019
2709	Kocsis Máté	2006	2010
2710	Galambos Rozi	2001	2005
2711	Somos Rudolf	2014	2018
2712	Elek László	2014	2018
2713	Magyar Henrietta	2002	2006
2714	Varga Nikolett	2012	2016
2715	Galambos Barbara	2009	2013
2716	Sípos Kitti	2022	NULL
2717	Tóth Henrietta	2011	2015
2718	Rácz Ádám	2010	2014
2719	Juhász Anna	2001	2005
2720	Balogh Rebeka	2017	2021
2721	Elek Margit	2022	NULL
2722	Ötvös Ferenc	2022	NULL
2723	Bencsik Gergely	2019	2023
2724	Németh Zsófia	2010	2014
2725	Elek Zsófia	2006	2010
2726	Németh Lili	2010	2014
2727	Nagy Ilonka	2006	2010
2728	Juhász Antal	2013	2017
2729	Kiss Krisztina	2016	2020
2730	Juhász Alexandra	2006	2010
2731	Halász Kálmán	2012	2016
2732	Töreki Dániel	2017	2021
2733	Győri Jenő	2007	2011
2734	Kis Zsolt	2009	2013
2735	Varga Máté	2006	2010
2736	Szekeres István	2021	NULL
2737	Kovács János	2012	2016
2738	Szilágyi Patrik	2012	2016
2739	Pataki István	2013	2017
2740	Fekete Tímea	2011	2015
2741	Farkas Ferenc	2003	2007
2742	Szekeres Máté	2015	2019
2743	Szilágyi Lajos	2018	2022
2744	Molnár Klaudia	2005	2009
2745	Galambos Gabriella	2015	2019
2746	Galambos Dániel	2013	2017
2747	Rácz Albert	2019	2023
2748	Szekeres Ferenc	2019	2023
2749	Töreki Dóri	2001	2005
2750	Bencsik Anna	2004	2008
2751	Rácz Attila	2009	2013
2752	Kovács Balázs	2005	2009
2753	Takács Nándor	2008	2012
2754	Kovács Nikolett	2012	2016
2755	Pataki Tímea	2018	2022
2756	Kovács György	2012	2016
2757	Rácz Anna	2014	2018
2758	Kis Tamás	2015	2019
2759	Szabó Antal	2005	2009
2760	Töreki Mariann	2015	2019
2761	Szekeres Antal	2014	2018
2762	Kocsis Dóri	2020	NULL
2763	Elek Kitti	2007	2011
2764	Fekete Réka	2004	2008
2765	Bencsik Máté	2001	2005
2766	Farkas Noémi	2007	2011
2767	Torma György	2002	2006
2768	Bencsik Balázs	2006	2010
2769	Torma György	2007	2011
2770	Halász Kálmán	2007	2011
2771	Hujber Alexandra	2013	2017
2772	Hujber Lili	2013	2017
2773	Somos Patrik	2018	2022
2774	Gál Kálmán	2011	2015
2775	Hujber Ferenc	2014	2018
2776	Ötvös Mariann	2018	2022
2777	Kis Helga	2011	2015
2778	Balogh Fanni	2017	2021
2779	Ötvös Nándor	2011	2015
2780	Vámos Luca	2015	2019
2781	Németh Zsolt	2010	2014
2782	Varga Zsuzsanna	2013	2017
2783	Szilágyi György	2010	2014
2784	Győri Antal	2018	2022
2785	Kocsis Dániel	2010	2014
2786	Kocsis Alajos	2018	2022
2787	Halász Kitti	2010	2014
2788	Bencsik György	2020	NULL
2789	Takács Gergely	2012	2016
2790	Juhász Dániel	2011	2015
2791	Pécsi András	2004	2008
2792	Vámos Kálmán	2015	2019
2793	Torma Balázs	2006	2010
2794	Kovács Mariann	2016	2020
2795	Vámos Zsuzsanna	2014	2018
2796	Szakács Nándor	2007	2011
2797	Halász Nándor	2017	2021
2798	Balogh Béla	2009	2013
2799	Pécsi László	2004	2008
2800	Rácz Zsófia	2008	2012
2801	Szabó Dóra	2022	NULL
2802	Töreki Adrienn	2019	2023
2803	Kocsis Lajos	2011	2015
2804	Szakács Roland	2002	2006
2805	Kocsis Mariann	2003	2007
2806	Hujber István	2000	2004
2807	Bencsik Katalin	2016	2020
2808	Rácz Martin	2009	2013
2809	Galambos Bence	2022	NULL
2810	Torma Jenő	2012	2016
2811	Farkas Mariann	2014	2018
2812	Sípos Fanni	2017	2021
2813	Hujber Nikolett	2014	2018
2814	Tóth Kitti	2013	2017
2815	Vámos Gábor	2007	2011
2816	Kovács Jenő	2022	NULL
2817	Gál Tímea	2014	2018
2818	Ötvös Réka	2013	2017
2819	Takács Attila	2004	2008
2820	Kis Tímea	2009	2013
2821	Szekeres György	2012	2016
2822	Hujber István	2002	2006
2823	Kovács Bence	2000	2004
2824	Galambos Roland	2011	2015
2825	Elek István	2022	NULL
2826	Takács Klaudia	2005	2009
2827	Kovács László	2008	2012
2828	Fekete Réka	2000	2004
2829	Halász Dóra	2007	2011
2830	Mészáros Kálmán	2001	2005
2831	Kis Rebeka	2007	2011
2832	Pécsi Dániel	2015	2019
2833	Szabó Zsófia	2017	2021
2834	Fehér Henrietta	2003	2007
2835	Kovács Patrik	2012	2016
2836	Nagy Ilonka	2002	2006
2837	Rácz Roland	2007	2011
2838	Németh Gyula	2014	2018
2839	Pécsi Anna	2009	2013
2840	Halász Nándor	2014	2018
2841	Németh Nándor	2010	2014
2842	Nagy Anna	2014	2018
2843	Fehér Luca	2018	2022
2844	Rácz Zoltán	2014	2018
2845	Győri Martin	2016	2020
2846	Pécsi Katalin	2017	2021
2847	Kocsis Gabriella	2006	2010
2848	Ötvös Nikolett	2000	2004
2849	Somos Réka	2007	2011
2850	Vámos Ádám	2002	2006
2851	Mészáros Antal	2017	2021
2852	Varga Attila	2016	2020
2853	Fekete Ádám	2014	2018
2854	Bencsik József	2021	NULL
2855	Bencsik Ilonka	2002	2006
2856	Mészáros Rozi	2008	2012
2857	Magyar Aladár	2008	2012
2858	Balogh Tamás	2016	2020
2859	Mészáros Luca	2001	2005
2860	Juhász Nóra	2005	2009
2861	Fehér Viktória	2006	2010
2862	Rácz Béla	2018	2022
2863	Varga József	2021	NULL
2864	Balogh Máté	2018	2022
2865	Fehér Barbara	2022	NULL
2866	Fehér Tamás	2016	2020
2867	Szekeres Kálmán	2011	2015
2868	Mészáros Zsolt	2005	2009
2869	Bencsik Ilonka	2014	2018
2870	Bencsik László	2016	2020
2871	Halász Gyula	2006	2010
2872	Töreki Anna	2010	2014
2873	Bencsik András	2003	2007
2874	Elek Ferenc	2012	2016
2875	Bencsik Dániel	2013	2017
2876	Balogh Anna	2020	NULL
2877	Pécsi Balázs	2019	2023
2878	Molnár Lilla	2020	NULL
2879	Szakács Gabriella	2007	2011
2880	Vámos Viktória	2009	2013
2881	Varga Henrietta	2017	2021
2882	Farkas Aladár	2019	2023
2883	Győri Katalin	2018	2022
2884	Tóth Bálint	2008	2012
2885	Rácz Henrietta	2012	2016
2886	Magyar Gergely	2008	2012
2887	Tóth Tímea	2012	2016
2888	Magyar Fanni	2001	2005
2889	Gál Tímea	2016	2020
2890	Kis Nikolett	2010	2014
2891	Bencsik Gyula	2020	NULL
2892	Kis Helga	2022	NULL
2893	Vámos Kálmán	2018	2022
2894	Somos Petra	2009	2013
2895	Takács Réka	2001	2005
2896	Sípos Mariann	2020	NULL
2897	Takács Rudolf	2019	2023
2898	Farkas Albert	2001	2005
2899	Sípos István	2010	2014
2900	Ötvös István	2021	NULL
2901	Kiss József	2006	2010
2902	Ötvös Krisztina	2017	2021
2903	Szekeres Katalin	2017	2021
2904	Kovács Kálmán	2014	2018
2905	Galambos Antal	2004	2008
2906	Szilágyi Gergely	2017	2021
2907	Varga Kálmán	2021	NULL
2908	Galambos Zoltán	2014	2018
2909	Kovács György	2018	2022
2910	Sípos Nándor	2002	2006
2911	Farkas Lajos	2017	2021
2912	Sípos Réka	2015	2019
2913	Németh Viktória	2008	2012
2914	Pataki Petra	2022	NULL
2915	Somos Dóra	2005	2009
2916	Elek Martin	2015	2019
2917	Fekete Klaudia	2022	NULL
2918	Varga Gabriella	2004	2008
2919	Sípos Béla	2005	2009
2920	Torma Bence	2015	2019
2921	Kovács Aladár	2017	2021
2922	Szakács Dóri	2000	2004
2923	Töreki Alajos	2008	2012
2924	Szakács Patrik	2008	2012
2925	Juhász Roland	2006	2010
2926	Balogh Dóra	2007	2011
2927	Takács András	2018	2022
2928	Kiss Zsófia	2019	2023
2929	Molnár Dóri	2010	2014
2930	Takács Eszter	2008	2012
2931	Elek Antal	2021	NULL
2932	Sípos Anna	2003	2007
2933	Kiss Tímea	2008	2012
2934	Kis Roland	2019	2023
2935	Somos László	2012	2016
2936	Fekete Barbara	2019	2023
2937	Fekete Máté	2014	2018
2938	Szekeres Zsolt	2013	2017
2939	Rácz Béla	2015	2019
2940	Somos Kálmán	2009	2013
2941	Molnár Petra	2009	2013
2942	Gál Dóra	2009	2013
2943	Ötvös Luca	2004	2008
2944	Fekete Katalin	2006	2010
2945	Sípos Dóri	2011	2015
2946	Torma Gergely	2006	2010
2947	Rácz Máté	2012	2016
2948	Kis Klaudia	2019	2023
2949	Kocsis Patrik	2000	2004
2950	Győri Gábor	2013	2017
2951	Takács Attila	2016	2020
2952	Töreki Dóri	2016	2020
2953	Farkas Nóra	2006	2010
2954	Töreki Petra	2016	2020
2955	Vámos Tímea	2008	2012
2956	Fekete Antal	2010	2014
2957	Mészáros Aladár	2007	2011
2958	Vámos Zsuzsanna	2011	2015
2959	Somos Gergely	2017	2021
2960	Torma Béla	2001	2005
2961	Szabó Ilonka	2002	2006
2962	Takács Rozi	2001	2005
2963	Pécsi Nándor	2012	2016
2964	Pécsi Lili	2002	2006
2965	Sípos Klaudia	2011	2015
2966	Kis Ádám	2001	2005
2967	Varga Ilonka	2013	2017
2968	Fehér Alexandra	2000	2004
2969	Galambos Béla	2006	2010
2970	Kis Béla	2017	2021
2971	Németh Lajos	2005	2009
2972	Nagy Antal	2021	NULL
2973	Pataki Nóra	2003	2007
2974	Gál Rudolf	2014	2018
2975	Halász Anna	2015	2019
2976	Juhász Gyula	2004	2008
2977	Molnár Bence	2013	2017
2978	Szakács Lajos	2019	2023
2979	Balogh Ferenc	2004	2008
2980	Németh Noémi	2001	2005
2981	Gál László	2004	2008
2982	Hujber István	2011	2015
2983	Sípos Nóra	2000	2004
2984	Németh Dániel	2019	2023
2985	Halász Eszter	2021	NULL
2986	Farkas Ádám	2000	2004
2987	Ötvös Kálmán	2004	2008
2988	Töreki László	2010	2014
2989	Hujber András	2022	NULL
2990	Gál Attila	2016	2020
2991	Gál Nándor	2005	2009
2992	Szabó Barbara	2017	2021
2993	Pataki János	2004	2008
2994	Torma Fanni	2003	2007
2995	Szilágyi László	2010	2014
2996	Kocsis Aladár	2004	2008
2997	Kovács Patrik	2018	2022
2998	Tóth Noémi	2011	2015
2999	Fekete Bálint	2003	2007
3000	Elek Martin	2012	2016
3001	Szabó Viktória	2012	2016
3002	Balogh Rebeka	2014	2018
3003	Balogh Kitti	2007	2011
3004	Töreki Fanni	2010	2014
3005	Sípos Nikolett	2004	2008
3006	Sípos Martin	2018	2022
3007	Bencsik Klaudia	2006	2010
3008	Ötvös Dóri	2004	2008
3009	Hujber Aladár	2005	2009
3010	Gál Fanni	2003	2007
3011	Elek Balázs	2000	2004
3012	Kocsis Noémi	2010	2014
3013	Németh Klaudia	2010	2014
3014	Nagy Barbara	2021	NULL
3015	Pécsi Anna	2012	2016
3016	Pataki Gábor	2010	2014
3017	Gál Réka	2004	2008
3018	Szekeres Patrik	2008	2012
3019	Sípos Viktória	2000	2004
3020	Szakács Antal	2003	2007
3021	Fekete Jenő	2011	2015
3022	Juhász György	2020	NULL
3023	Balogh Zsolt	2004	2008
3024	Pataki Tamás	2009	2013
3025	Torma Adrienn	2020	NULL
3026	Szabó Adrienn	2016	2020
3027	Halász Anna	2018	2022
3028	Szakács Alexandra	2000	2004
3029	Kis Barbara	2003	2007
3030	Szilágyi Eszter	2001	2005
3031	Szabó Nikolett	2004	2008
3032	Fekete Jenő	2000	2004
3033	Galambos Ferenc	2003	2007
3034	Töreki Gyula	2011	2015
3035	Rácz István	2020	NULL
3036	Elek Tímea	2006	2010
3037	Szilágyi Margit	2003	2007
3038	Fekete Attila	2011	2015
3039	Molnár Zsolt	2021	NULL
3040	Juhász Kálmán	2014	2018
3041	Vámos Nándor	2014	2018
3042	Takács Helga	2007	2011
3043	Nagy Dóri	2010	2014
3044	Szekeres Krisztina	2020	NULL
3045	Vámos Lilla	2008	2012
3046	Szakács Margit	2018	2022
3047	Juhász Rebeka	2005	2009
3048	Pécsi Gyula	2004	2008
3049	Ötvös Adrienn	2012	2016
3050	Kiss Henrietta	2018	2022
3051	Mészáros László	2007	2011
3052	Elek Fanni	2004	2008
3053	Szabó Lajos	2004	2008
3054	Varga Zoltán	2016	2020
3055	Fehér Rozi	2020	NULL
3056	Somos Alajos	2011	2015
3057	Varga Alajos	2004	2008
3058	Halász Bence	2010	2014
3059	Pataki Béla	2003	2007
3060	Vámos György	2015	2019
3061	Sípos Tamás	2016	2020
3062	Kovács Luca	2008	2012
3063	Pataki Luca	2017	2021
3064	Nagy József	2013	2017
3065	Takács Rebeka	2009	2013
3066	Kovács Luca	2019	2023
3067	Fehér József	2009	2013
3068	Ötvös Zsolt	2017	2021
3069	Tóth Roland	2019	2023
3070	Juhász János	2021	NULL
3071	Vámos Máté	2004	2008
3072	Takács Krisztina	2005	2009
3073	Molnár Alexandra	2017	2021
3074	Pataki Gyula	2001	2005
3075	Fekete Kitti	2010	2014
3076	Szakács Dóri	2016	2020
3077	Galambos Helga	2006	2010
3078	Halász András	2014	2018
3079	Pataki Nikolett	2014	2018
3080	Kis Mariann	2002	2006
3081	Szabó Zoltán	2003	2007
3082	Kiss Bálint	2010	2014
3083	Bencsik András	2022	NULL
3084	Somos Adrienn	2000	2004
3085	Halász Viktória	2019	2023
3086	Hujber Patrik	2008	2012
3087	Tóth Anna	2014	2018
3088	Somos Barbara	2016	2020
3089	Halász Attila	2011	2015
3090	Vámos Béla	2000	2004
3091	Szakács Kitti	2016	2020
3092	Fekete Alexandra	2004	2008
3093	Győri Viktória	2018	2022
3094	Magyar Margit	2021	NULL
3095	Elek Zsófia	2021	NULL
3096	Kocsis Krisztina	2017	2021
3097	Balogh Béla	2008	2012
3098	Molnár Ádám	2022	NULL
3099	Kocsis Lajos	2012	2016
3100	Fehér Gabriella	2002	2006
3101	Torma Jenő	2002	2006
3102	Elek Klaudia	2007	2011
3103	Pataki Noémi	2019	2023
3104	Kocsis Dániel	2022	NULL
3105	Szakács Antal	2005	2009
3106	Szilágyi Mariann	2004	2008
3107	Balogh Patrik	2010	2014
3108	Rácz Barbara	2002	2006
3109	Fehér László	2007	2011
3110	Győri Fanni	2017	2021
3111	Nagy Alajos	2011	2015
3112	Fehér Máté	2012	2016
3113	Szabó Henrietta	2007	2011
3114	Nagy József	2015	2019
3115	Pataki Zsolt	2022	NULL
3116	Szekeres Nándor	2013	2017
3117	Kocsis Gyula	2002	2006
3118	Bencsik Kálmán	2021	NULL
3119	Pécsi Zsolt	2013	2017
3120	Németh Zsuzsanna	2022	NULL
3121	Somos Gyula	2007	2011
3122	Szekeres Patrik	2016	2020
3123	Nagy Ilonka	2015	2019
3124	Bencsik Dániel	2009	2013
3125	Pataki Gyula	2006	2010
3126	Kiss Patrik	2016	2020
3127	Kovács Gabriella	2019	2023
3128	Pataki Tamás	2011	2015
3129	Kovács Viktória	2018	2022
3130	Fekete Patrik	2000	2004
3131	Kovács Réka	2008	2012
3132	Torma Lilla	2014	2018
3133	Bencsik Rudolf	2008	2012
3134	Szilágyi Helga	2019	2023
3135	Németh Kálmán	2015	2019
3136	Somos Patrik	2011	2015
3137	Kocsis Anna	2004	2008
3138	Varga József	2002	2006
3139	Vámos Margit	2008	2012
3140	Nagy Jenő	2008	2012
3141	Tóth János	2003	2007
3142	Fehér Gabriella	2016	2020
3143	Töreki Alexandra	2016	2020
3144	Nagy Bálint	2015	2019
3145	Varga István	2001	2005
3146	Németh Henrietta	2013	2017
3147	Kis Bálint	2021	NULL
3148	Balogh Margit	2006	2010
3149	Szakács Gyula	2020	NULL
3150	Kiss Alajos	2013	2017
3151	Torma Kálmán	2001	2005
3152	Sípos Dóra	2018	2022
3153	Kiss Alexandra	2004	2008
3154	Varga Nikolett	2014	2018
3155	Gál Helga	2001	2005
3156	Molnár Luca	2002	2006
3157	Elek János	2007	2011
3158	Balogh Attila	2008	2012
3159	Ötvös Anna	2001	2005
3160	Kiss József	2012	2016
3161	Bencsik Aladár	2003	2007
3162	Szakács Anna	2017	2021
3163	Szakács Gabriella	2003	2007
3164	Balogh Zsuzsanna	2002	2006
3165	Pataki Gábor	2016	2020
3166	Kovács Patrik	2008	2012
3167	Ötvös László	2002	2006
3168	Fekete Zsuzsanna	2002	2006
3169	Kocsis Klaudia	2000	2004
3170	Somos Jenő	2001	2005
3171	Szilágyi Gabriella	2017	2021
3172	Bencsik Aladár	2003	2007
3173	Mészáros Klaudia	2008	2012
3174	Szilágyi Fanni	2020	NULL
3175	Farkas Lajos	2011	2015
3176	Szakács Béla	2001	2005
3177	Kocsis Nóra	2000	2004
3178	Hujber Barbara	2000	2004
3179	Kocsis Kálmán	2016	2020
3180	Elek Balázs	2012	2016
3181	Szabó Ilonka	2021	NULL
3182	Tóth Zsófia	2008	2012
3183	Töreki Roland	2008	2012
3184	Tóth Adrienn	2007	2011
3185	Torma Béla	2012	2016
3186	Szakács Gyula	2002	2006
3187	Galambos Mariann	2013	2017
3188	Bencsik Zoltán	2014	2018
3189	Takács Adrienn	2014	2018
3190	Mészáros Margit	2018	2022
3191	Somos Ferenc	2020	NULL
3192	Pécsi András	2000	2004
